Nombre,Ticker,ISIN,Tipo,Activo,Banco,Valor
US Aggregate Bond USD (Acc),-,IE00BYXYYM63,Renta fija,ETF,Trade Republic,357.61
Core MSCI World USD (Acc),-,IE00B4L5Y983,Renta variable,ETF,Trade Republic,232.28
Core S&P 500 USD (Acc),-,IE00B5BMR087,Renta variable,ETF,Trade Republic,213.05
MSCI Emerging Markets USD (Acc),-,IE000KCS7J59,Renta variable,ETF,Trade Republic,115.32
Physical Gold USD (Acc),-,IE00B4ND3602,Renta variable,ETF,Trade Republic,109.15
Bitcoin,BTC,-,Renta variable,Criptoactivo,Trade Republic,21.48
Apple,AAPL,US0378331005,Renta variable,Acciones,Trade Republic,11.18
Bankinter Horizonte 2028 Cl R,-,ES0159038001,Renta fija,Fondo de inversión,Bankinter,16398.67
Bankinter Premium Moderado R,-,ES0164586036,Renta variable,Fondo de inversión,Bankinter,18590.26
